channel_id,z,element,shell,e0_keV,s_cert_A_inv,F_s0.0,F_s0.5,F_s1.0,F_s1.5,F_s2.0,F_s2.5,F_s3.0,F_s3.5,F_s4.0,F_s4.5,F_s5.0,F_s5.5,F_s6.0,F_s6.5,F_s7.0,F_s7.5,F_s8.0,dataset_version
L1_Z62,62,Sm,L1,200.0,16.00,1.000000,0.930628,0.776710,0.606078,0.448729,0.316243,0.212368,0.136283,0.084325,0.051460,0.032466,0.022716,0.018551,0.017351,0.017406,0.017720,0.017798,5.0.0
L2_Z62,62,Sm,L2,200.0,16.00,1.000000,0.920707,0.756754,0.589017,0.442897,0.323149,0.228973,0.157614,0.105451,0.068618,0.043454,0.026788,0.016064,0.009342,0.005223,0.002742,0.001265,5.0.0
L3_Z62,62,Sm,L3,200.0,16.00,1.000000,0.910557,0.733753,0.559186,0.410338,0.290559,0.198308,0.130202,0.082002,0.049297,0.028023,0.014766,0.006866,0.002382,-0.000026,-0.001232,-0.001781,5.0.0
M1_Z62,62,Sm,M1,200.0,16.00,1.000000,0.634708,0.287817,0.095344,0.026237,0.014242,0.015041,0.014146,0.011223,0.008331,0.006318,0.005039,0.004126,0.003351,0.002650,0.002036,0.001535,5.0.0
M2_Z62,62,Sm,M2,200.0,16.00,1.000000,0.582164,0.255622,0.088973,0.028984,0.016291,0.015334,0.014174,0.011704,0.009068,0.006913,0.005288,0.004045,0.003053,0.002249,0.001606,0.001110,5.0.0
M3_Z62,62,Sm,M3,200.0,16.00,1.000000,0.545241,0.220119,0.065934,0.018182,0.012361,0.013732,0.012841,0.010178,0.007438,0.005327,0.003836,0.002765,0.001957,0.001333,0.000858,0.000509,5.0.0
M4_Z62,62,Sm,M4,200.0,16.00,1.000000,0.409555,0.148408,0.041064,0.004397,-0.004224,-0.004616,-0.003557,-0.002590,-0.001845,-0.001265,-0.000822,-0.000504,-0.000293,-0.000162,-0.000086,-0.000045,5.0.0
M5_Z62,62,Sm,M5,200.0,16.00,1.000000,0.401668,0.142819,0.037971,0.003001,-0.004830,-0.004931,-0.003748,-0.002691,-0.001870,-0.001238,-0.000768,-0.000444,-0.000239,-0.000119,-0.000054,-0.000023,5.0.0
L1_Z63,63,Eu,L1,200.0,16.00,1.000000,0.934330,0.786038,0.618898,0.462860,0.329990,0.224526,0.146160,0.091717,0.056545,0.035658,0.024520,0.019457,0.017763,0.017622,0.017931,0.018106,5.0.0
L2_Z63,63,Eu,L2,200.0,16.00,1.000000,0.925232,0.767258,0.602467,0.457052,0.336667,0.241055,0.167846,0.113717,0.075019,0.048228,0.030232,0.018481,0.011002,0.006348,0.003504,0.001786,5.0.0
L3_Z63,63,Eu,L3,200.0,16.00,1.000000,0.915230,0.743972,0.571789,0.423253,0.302579,0.208736,0.138717,0.088579,0.054115,0.031376,0.016984,0.008259,0.003210,0.000439,-0.000988,-0.001661,5.0.0
M1_Z63,63,Eu,M1,200.0,16.00,1.000000,0.646316,0.300933,0.103717,0.029137,0.014543,0.015106,0.014626,0.011891,0.008910,0.006731,0.005335,0.004372,0.003583,0.002871,0.002237,0.001707,5.0.0
M2_Z63,63,Eu,M2,200.0,16.00,1.000000,0.594625,0.267946,0.096543,0.031816,0.016857,0.015540,0.014627,0.012324,0.009672,0.007419,0.005698,0.004386,0.003345,0.002499,0.001815,0.001279,5.0.0
M3_Z63,63,Eu,M3,200.0,16.00,1.000000,0.556730,0.230759,0.071743,0.019745,0.012305,0.013737,0.013244,0.010752,0.007966,0.005737,0.004142,0.003001,0.002148,0.001489,0.000983,0.000605,5.0.0
M4_Z63,63,Eu,M4,200.0,16.00,1.000000,0.422431,0.157508,0.045856,0.006104,-0.003969,-0.004790,-0.003773,-0.002769,-0.001992,-0.001386,-0.000920,-0.000578,-0.000344,-0.000195,-0.000107,-0.000057,5.0.0
M5_Z63,63,Eu,M5,200.0,16.00,1.000000,0.414066,0.151479,0.042440,0.004521,-0.004660,-0.005142,-0.003986,-0.002888,-0.002030,-0.001366,-0.000867,-0.000515,-0.000285,-0.000147,-0.000070,-0.000030,5.0.0
L1_Z64,64,Gd,L1,200.0,16.00,1.000000,0.937862,0.795167,0.631661,0.477094,0.343974,0.237021,0.156432,0.099513,0.061999,0.039151,0.026542,0.020497,0.018238,0.017848,0.018119,0.018376,5.0.0
L2_Z64,64,Gd,L2,200.0,16.00,1.000000,0.929541,0.777562,0.615925,0.471397,0.350495,0.253519,0.178493,0.122398,0.081810,0.053346,0.033965,0.021129,0.012840,0.007606,0.004362,0.002375,5.0.0
L3_Z64,64,Gd,L3,200.0,16.00,1.000000,0.919716,0.754082,0.584493,0.436417,0.314932,0.219535,0.147608,0.095508,0.059243,0.034985,0.019399,0.009796,0.004137,0.000966,-0.000707,-0.001522,5.0.0
M1_Z64,64,Gd,M1,200.0,16.00,1.000000,0.658739,0.315351,0.113019,0.032491,0.015053,0.015352,0.015338,0.012810,0.009702,0.007290,0.005715,0.004664,0.003843,0.003117,0.002463,0.001904,5.0.0
M2_Z64,64,Gd,M2,200.0,16.00,1.000000,0.608570,0.282091,0.105093,0.034874,0.017324,0.015636,0.015068,0.013014,0.010379,0.008024,0.006189,0.004787,0.003682,0.002786,0.002057,0.001477,5.0.0
M3_Z64,64,Gd,M3,200.0,16.00,1.000000,0.569947,0.243275,0.078366,0.021329,0.012031,0.013603,0.013646,0.011412,0.008601,0.006238,0.004515,0.003284,0.002372,0.001670,0.001127,0.000716,5.0.0
M4_Z64,64,Gd,M4,200.0,16.00,1.000000,0.442956,0.172129,0.053275,0.008696,-0.003571,-0.005047,-0.004101,-0.003039,-0.002206,-0.001558,-0.001054,-0.000677,-0.000413,-0.000241,-0.000135,-0.000073,5.0.0
M5_Z64,64,Gd,M5,200.0,16.00,1.000000,0.434782,0.165992,0.049607,0.006900,-0.004386,-0.005466,-0.004358,-0.003190,-0.002268,-0.001552,-0.001006,-0.000612,-0.000348,-0.000185,-0.000091,-0.000041,5.0.0
L1_Z65,65,Tb,L1,200.0,16.00,1.000000,0.941025,0.803496,0.643482,0.490464,0.357318,0.249165,0.166632,0.107454,0.067728,0.042966,0.028869,0.021784,0.018886,0.018174,0.018345,0.018639,5.0.0
L2_Z65,65,Tb,L2,200.0,16.00,1.000000,0.933398,0.786981,0.628410,0.484862,0.363633,0.265519,0.188895,0.131016,0.088666,0.058607,0.037875,0.023957,0.014841,0.009002,0.005329,0.003050,5.0.0
L3_Z65,65,Tb,L3,200.0,16.00,1.000000,0.923692,0.763204,0.596093,0.448574,0.326488,0.229788,0.156191,0.102321,0.064386,0.038685,0.021937,0.011455,0.005170,0.001578,-0.000363,-0.001339,5.0.0
M1_Z65,65,Tb,M1,200.0,16.00,1.000000,0.668675,0.327018,0.121358,0.035973,0.015547,0.015113,0.015379,0.013166,0.010132,0.007646,0.005982,0.004881,0.004046,0.003318,0.002657,0.002079,5.0.0
M2_Z65,65,Tb,M2,200.0,16.00,1.000000,0.618804,0.292611,0.112531,0.038404,0.018408,0.015949,0.015417,0.013511,0.010908,0.008495,0.006579,0.005113,0.003962,0.003031,0.002270,0.001657,5.0.0
M3_Z65,65,Tb,M3,200.0,16.00,1.000000,0.579002,0.251980,0.084040,0.023537,0.012377,0.013614,0.013895,0.011853,0.009059,0.006616,0.004803,0.003506,0.002551,0.001820,0.001252,0.000818,5.0.0
M4_Z65,65,Tb,M4,200.0,16.00,1.000000,0.447486,0.175731,0.055951,0.010038,-0.003176,-0.005053,-0.004200,-0.003136,-0.002292,-0.001638,-0.001127,-0.000739,-0.000462,-0.000275,-0.000158,-0.000087,5.0.0
M5_Z65,65,Tb,M5,200.0,16.00,1.000000,0.438044,0.168707,0.051803,0.008021,-0.004073,-0.005494,-0.004462,-0.003293,-0.002360,-0.001636,-0.001080,-0.000673,-0.000393,-0.000215,-0.000109,-0.000051,5.0.0
L1_Z66,66,Dy,L1,200.0,16.00,1.000000,0.944052,0.811651,0.655247,0.503918,0.370865,0.261603,0.177184,0.115767,0.073811,0.047086,0.031431,0.023232,0.019627,0.018536,0.018569,0.018877,5.0.0
L2_Z66,66,Dy,L2,200.0,16.00,1.000000,0.937080,0.796223,0.640898,0.498498,0.377053,0.277871,0.199684,0.140027,0.095899,0.064209,0.042080,0.027028,0.017036,0.010546,0.006408,0.003806,5.0.0
L3_Z66,66,Dy,L3,200.0,16.00,1.000000,0.927521,0.772239,0.607791,0.460964,0.338352,0.240385,0.165123,0.109466,0.069827,0.042636,0.024677,0.013267,0.006312,0.002262,0.000025,-0.001131,5.0.0
M1_Z66,66,Dy,M1,200.0,16.00,1.000000,0.679440,0.339968,0.130573,0.039896,0.016284,0.015087,0.015656,0.013758,0.010758,0.008141,0.006336,0.005150,0.004281,0.003543,0.002873,0.002277,5.0.0
M2_Z66,66,Dy,M2,200.0,16.00,1.000000,0.630515,0.304919,0.120905,0.042157,0.019428,0.016180,0.015759,0.014070,0.011532,0.009060,0.007050,0.005501,0.004291,0.003315,0.002515,0.001865,5.0.0
M3_Z66,66,Dy,M3,200.0,16.00,1.000000,0.589773,0.262525,0.090492,0.025774,0.012540,0.013505,0.014141,0.012369,0.009616,0.007084,0.005160,0.003777,0.002765,0.001996,0.001397,0.000934,5.0.0
M4_Z66,66,Dy,M4,200.0,16.00,1.000000,0.459639,0.184811,0.061212,0.012251,-0.002630,-0.005130,-0.004406,-0.003324,-0.002446,-0.001766,-0.001235,-0.000826,-0.000527,-0.000321,-0.000188,-0.000106,5.0.0
M5_Z66,66,Dy,M5,200.0,16.00,1.000000,0.449567,0.177206,0.056642,0.009982,-0.003649,-0.005624,-0.004695,-0.003500,-0.002529,-0.001776,-0.001193,-0.000759,-0.000454,-0.000255,-0.000134,-0.000065,5.0.0
L1_Z67,67,Ho,L1,200.0,16.00,1.000000,0.946885,0.819443,0.666668,0.517134,0.384317,0.274097,0.187923,0.124356,0.080209,0.051513,0.034260,0.024884,0.020504,0.018975,0.018819,0.019107,5.0.0
L2_Z67,67,Ho,L2,200.0,16.00,1.000000,0.940521,0.805068,0.653064,0.511945,0.390420,0.290288,0.210633,0.149265,0.103395,0.070083,0.046543,0.030329,0.019424,0.012246,0.007608,0.004653,5.0.0
L3_Z67,67,Ho,L3,200.0,16.00,1.000000,0.931107,0.780901,0.619187,0.473168,0.350145,0.251013,0.174169,0.116779,0.075462,0.046782,0.027592,0.015226,0.007569,0.003029,0.000471,-0.000885,5.0.0
M1_Z67,67,Ho,M1,200.0,16.00,1.000000,0.689938,0.352841,0.140019,0.044153,0.017200,0.015055,0.015858,0.014300,0.011386,0.008665,0.006718,0.005433,0.004519,0.003766,0.003088,0.002477,5.0.0
M2_Z67,67,Ho,M2,200.0,16.00,1.000000,0.641980,0.317204,0.129515,0.046215,0.020624,0.016439,0.016065,0.014602,0.012157,0.009645,0.007544,0.005908,0.004632,0.003608,0.002769,0.002083,5.0.0
M3_Z67,67,Ho,M3,200.0,16.00,1.000000,0.600303,0.273015,0.097128,0.028239,0.012800,0.013371,0.014329,0.012853,0.010177,0.007574,0.005538,0.004062,0.002987,0.002176,0.001546,0.001056,5.0.0
M4_Z67,67,Ho,M4,200.0,16.00,1.000000,0.471520,0.193839,0.066587,0.014618,-0.001984,-0.005167,-0.004605,-0.003513,-0.002601,-0.001896,-0.001344,-0.000915,-0.000597,-0.000372,-0.000223,-0.000129,5.0.0
M5_Z67,67,Ho,M5,200.0,16.00,1.000000,0.460714,0.185563,0.061538,0.012064,-0.003142,-0.005720,-0.004921,-0.003708,-0.002700,-0.001916,-0.001308,-0.000849,-0.000520,-0.000300,-0.000162,-0.000081,5.0.0
L1_Z68,68,Er,L1,200.0,16.00,1.000000,0.949540,0.826884,0.677743,0.530102,0.397658,0.286625,0.198825,0.133202,0.086913,0.056248,0.037361,0.026752,0.021532,0.019501,0.019105,0.019336,5.0.0
L2_Z68,68,Er,L2,200.0,16.00,1.000000,0.943737,0.813530,0.664906,0.525195,0.403719,0.302754,0.221728,0.158718,0.111147,0.076226,0.051265,0.033864,0.022012,0.014110,0.008937,0.005601,5.0.0
L3_Z68,68,Er,L3,200.0,16.00,1.000000,0.934466,0.789202,0.630280,0.485176,0.361854,0.261659,0.183315,0.124249,0.081283,0.051118,0.030682,0.017334,0.008943,0.003885,0.000978,-0.000600,5.0.0
M1_Z68,68,Er,M1,200.0,16.00,1.000000,0.700158,0.365615,0.149677,0.048751,0.018330,0.015052,0.016000,0.014791,0.012002,0.009204,0.007119,0.005729,0.004763,0.003992,0.003307,0.002684,5.0.0
M2_Z68,68,Er,M2,200.0,16.00,1.000000,0.653185,0.329441,0.138334,0.050577,0.022022,0.016756,0.016353,0.015107,0.012775,0.010241,0.008054,0.006332,0.004990,0.003917,0.003038,0.002314,5.0.0
M3_Z68,68,Er,M3,200.0,16.00,1.000000,0.610590,0.283421,0.103909,0.030921,0.013176,0.013238,0.014473,0.013305,0.010730,0.008073,0.005932,0.004361,0.003220,0.002364,0.001702,0.001184,5.0.0
M4_Z68,68,Er,M4,200.0,16.00,1.000000,0.483085,0.202767,0.072042,0.017126,-0.001232,-0.005156,-0.004791,-0.003703,-0.002758,-0.002028,-0.001456,-0.001008,-0.000669,-0.000426,-0.000261,-0.000154,5.0.0
M5_Z68,68,Er,M5,200.0,16.00,1.000000,0.471356,0.193663,0.066423,0.014241,-0.002551,-0.005775,-0.005134,-0.003914,-0.002872,-0.002059,-0.001426,-0.000942,-0.000590,-0.000349,-0.000194,-0.000100,5.0.0
L1_Z69,69,Tm,L1,200.0,16.00,1.000000,0.952027,0.833987,0.688476,0.542816,0.410874,0.299168,0.209872,0.142290,0.093909,0.061285,0.040736,0.028843,0.022721,0.020127,0.019440,0.019573,5.0.0
L2_Z69,69,Tm,L2,200.0,16.00,1.000000,0.946746,0.821620,0.676425,0.538240,0.416940,0.315258,0.232957,0.168377,0.119148,0.082634,0.056246,0.037635,0.024806,0.016145,0.010403,0.006655,5.0.0
L3_Z69,69,Tm,L3,200.0,16.00,1.000000,0.937612,0.797146,0.641063,0.496974,0.373461,0.272304,0.192544,0.131864,0.087282,0.055640,0.033948,0.019593,0.010440,0.004833,0.001550,-0.000270,5.0.0
M1_Z69,69,Tm,M1,200.0,16.00,1.000000,0.710122,0.378300,0.159527,0.053668,0.019659,0.015068,0.016070,0.015220,0.012602,0.009758,0.007543,0.006040,0.005011,0.004217,0.003524,0.002892,5.0.0
M2_Z69,69,Tm,M2,200.0,16.00,1.000000,0.664139,0.341622,0.147338,0.055224,0.023618,0.017134,0.016621,0.015582,0.013385,0.010850,0.008587,0.006776,0.005362,0.004235,0.003314,0.002555,5.0.0
M3_Z69,69,Tm,M3,200.0,16.00,1.000000,0.620627,0.293723,0.110817,0.033812,0.013667,0.013101,0.014567,0.013721,0.011278,0.008585,0.006343,0.004674,0.003462,0.002558,0.001861,0.001316,5.0.0
M4_Z69,69,Tm,M4,200.0,16.00,1.000000,0.494265,0.211532,0.077534,0.019754,-0.000383,-0.005100,-0.004965,-0.003891,-0.002915,-0.002158,-0.001567,-0.001102,-0.000746,-0.000485,-0.000303,-0.000183,5.0.0
M5_Z69,69,Tm,M5,200.0,16.00,1.000000,0.481212,0.201274,0.071157,0.016450,-0.001895,-0.005792,-0.005334,-0.004115,-0.003039,-0.002197,-0.001541,-0.001036,-0.000663,-0.000401,-0.000229,-0.000122,5.0.0
L1_Z70,70,Yb,L1,200.0,16.00,1.000000,0.954355,0.840753,0.698852,0.555250,0.423931,0.311692,0.221030,0.151590,0.101180,0.066613,0.044383,0.031161,0.024080,0.020864,0.019831,0.019825,5.0.0
L2_Z70,70,Yb,L2,200.0,16.00,1.000000,0.949562,0.829349,0.687616,0.551070,0.430068,0.327783,0.244304,0.178227,0.127386,0.089301,0.061485,0.041647,0.027812,0.018358,0.012015,0.007823,5.0.0
L3_Z70,70,Yb,L3,200.0,16.00,1.000000,0.940545,0.804701,0.651474,0.508492,0.384898,0.282889,0.201810,0.139587,0.093435,0.060335,0.037383,0.022005,0.012063,0.005879,0.002195,0.000110,5.0.0
M1_Z70,70,Yb,M1,200.0,16.00,1.000000,0.719833,0.390849,0.169498,0.058856,0.021183,0.015113,0.016071,0.015574,0.013162,0.010308,0.007978,0.006361,0.005264,0.004441,0.003740,0.003101,5.0.0
M2_Z70,70,Yb,M2,200.0,16.00,1.000000,0.674829,0.353716,0.156493,0.060144,0.025424,0.017591,0.016882,0.016031,0.013983,0.011466,0.009137,0.007239,0.005749,0.004566,0.003603,0.002806,5.0.0
M3_Z70,70,Yb,M3,200.0,16.00,1.000000,0.630349,0.303805,0.117769,0.036901,0.014307,0.012997,0.014624,0.014094,0.011806,0.009101,0.006767,0.005000,0.003711,0.002755,0.002024,0.001452,5.0.0
M4_Z70,70,Yb,M4,200.0,16.00,1.000000,0.504911,0.219996,0.082968,0.022455,0.000551,-0.004992,-0.005119,-0.004075,-0.003072,-0.002288,-0.001678,-0.001197,-0.000824,-0.000546,-0.000348,-0.000214,5.0.0
M5_Z70,70,Yb,M5,200.0,16.00,1.000000,0.489336,0.207630,0.075304,0.018498,-0.001233,-0.005771,-0.005502,-0.004295,-0.003191,-0.002324,-0.001649,-0.001126,-0.000734,-0.000454,-0.000265,-0.000146,5.0.0
L1_Z71,71,Lu,L1,200.0,16.00,1.000000,0.956603,0.847408,0.709217,0.567805,0.437224,0.324536,0.232561,0.161286,0.108842,0.072301,0.048339,0.033724,0.025617,0.021718,0.020287,0.020103,5.0.0
L2_Z71,71,Lu,L2,200.0,16.00,1.000000,0.952258,0.836915,0.698772,0.564021,0.443439,0.340631,0.256019,0.188464,0.136008,0.096329,0.067050,0.045944,0.031057,0.020766,0.013781,0.009111,5.0.0
L3_Z71,71,Lu,L3,200.0,16.00,1.000000,0.943439,0.812338,0.662184,0.520459,0.396846,0.293983,0.211547,0.147728,0.099944,0.065325,0.041054,0.024596,0.013818,0.007017,0.002900,0.000525,5.0.0
M1_Z71,71,Lu,M1,200.0,16.00,1.000000,0.730007,0.404817,0.180893,0.065020,0.023302,0.015584,0.016465,0.016319,0.014090,0.011166,0.008643,0.006841,0.005618,0.004731,0.004001,0.003346,5.0.0
M2_Z71,71,Lu,M2,200.0,16.00,1.000000,0.686927,0.368124,0.167338,0.065802,0.027344,0.017931,0.017037,0.016463,0.014646,0.012189,0.009803,0.007808,0.006226,0.004970,0.003951,0.003108,5.0.0
M3_Z71,71,Lu,M3,200.0,16.00,1.000000,0.641986,0.316742,0.126449,0.040411,0.014723,0.012584,0.014525,0.014478,0.012447,0.009762,0.007326,0.005435,0.004044,0.003017,0.002235,0.001624,5.0.0
M4_Z71,71,Lu,M4,200.0,16.00,1.000000,0.526866,0.237942,0.093841,0.027583,0.002291,-0.004771,-0.005384,-0.004410,-0.003361,-0.002523,-0.001869,-0.001351,-0.000945,-0.000637,-0.000414,-0.000260,5.0.0
M5_Z71,71,Lu,M5,200.0,16.00,1.000000,0.515401,0.228399,0.087401,0.023914,0.000438,-0.005693,-0.005902,-0.004741,-0.003571,-0.002628,-0.001888,-0.001309,-0.000868,-0.000548,-0.000328,-0.000185,5.0.0
L1_Z72,72,Hf,L1,200.0,16.00,1.000000,0.958722,0.853773,0.719257,0.580094,0.450358,0.337350,0.244189,0.171185,0.116773,0.078283,0.052577,0.036531,0.027343,0.022699,0.020816,0.020407,5.0.0
L2_Z72,72,Hf,L2,200.0,16.00,1.000000,0.954806,0.844191,0.709662,0.576804,0.456755,0.353531,0.267880,0.198918,0.144894,0.103646,0.072905,0.050511,0.034544,0.023383,0.015719,0.010537,5.0.0
L3_Z72,72,Hf,L3,200.0,16.00,1.000000,0.946152,0.819622,0.672531,0.532136,0.408609,0.305005,0.221316,0.155982,0.106620,0.070505,0.044916,0.027363,0.015722,0.008273,0.003694,0.001004,5.0.0
M1_Z72,72,Hf,M1,200.0,16.00,1.000000,0.740279,0.418632,0.192216,0.071269,0.025449,0.015916,0.016624,0.016849,0.014880,0.011960,0.009289,0.007314,0.005966,0.005011,0.004251,0.003584,5.0.0
M2_Z72,72,Hf,M2,200.0,16.00,1.000000,0.698858,0.382186,0.178135,0.071712,0.029540,0.018412,0.017207,0.016862,0.015280,0.012904,0.010476,0.008387,0.006711,0.005380,0.004302,0.003414,5.0.0
M3_Z72,72,Hf,M3,200.0,16.00,1.000000,0.653449,0.329121,0.134986,0.044172,0.015411,0.012282,0.014408,0.014804,0.013041,0.010400,0.007879,0.005869,0.004375,0.003274,0.002441,0.001793,5.0.0
M4_Z72,72,Hf,M4,200.0,16.00,1.000000,0.544520,0.252648,0.103151,0.032226,0.003990,-0.004481,-0.005585,-0.004697,-0.003614,-0.002728,-0.002037,-0.001491,-0.001059,-0.000727,-0.000482,-0.000308,5.0.0
M5_Z72,72,Hf,M5,200.0,16.00,1.000000,0.533320,0.243047,0.096447,0.028260,0.001915,-0.005540,-0.006182,-0.005082,-0.003866,-0.002867,-0.002081,-0.001463,-0.000988,-0.000636,-0.000390,-0.000225,5.0.0
L1_Z73,73,Ta,L1,200.0,16.00,1.000000,0.960710,0.859838,0.728960,0.592108,0.463327,0.350129,0.255908,0.181277,0.124966,0.084558,0.057103,0.039592,0.029273,0.023829,0.021437,0.020755,5.0.0
L2_Z73,73,Ta,L2,200.0,16.00,1.000000,0.957190,0.851128,0.720216,0.589347,0.469952,0.366428,0.279838,0.209549,0.154013,0.111224,0.079028,0.055338,0.038268,0.026205,0.017830,0.012104,5.0.0
L3_Z73,73,Ta,L3,200.0,16.00,1.000000,0.948698,0.826582,0.682570,0.543591,0.420251,0.316004,0.231146,0.164361,0.113461,0.075869,0.048960,0.030296,0.017767,0.009643,0.004573,0.001545,5.0.0
M1_Z73,73,Ta,M1,200.0,16.00,1.000000,0.750255,0.432297,0.203684,0.077842,0.027847,0.016311,0.016714,0.017286,0.015616,0.012748,0.009955,0.007814,0.006335,0.005303,0.004508,0.003825,5.0.0
M2_Z73,73,Ta,M2,200.0,16.00,1.000000,0.710408,0.396077,0.189089,0.077967,0.032030,0.019027,0.017383,0.017218,0.015880,0.013611,0.011159,0.008984,0.007216,0.005807,0.004670,0.003734,5.0.0
M3_Z73,73,Ta,M3,200.0,16.00,1.000000,0.664594,0.341349,0.143670,0.048219,0.016300,0.012027,0.014241,0.015066,0.013600,0.011035,0.008447,0.006322,0.004723,0.003543,0.002656,0.001969,5.0.0
M4_Z73,73,Ta,M4,200.0,16.00,1.000000,0.560712,0.266519,0.112232,0.036952,0.005833,-0.004093,-0.005739,-0.004968,-0.003862,-0.002932,-0.002205,-0.001631,-0.001175,-0.000819,-0.000553,-0.000360,5.0.0
M5_Z73,73,Ta,M5,200.0,16.00,1.000000,0.549539,0.256691,0.105178,0.032650,0.003517,-0.005295,-0.006417,-0.005405,-0.004154,-0.003104,-0.002273,-0.001619,-0.001110,-0.000728,-0.000455,-0.000270,5.0.0
L1_Z74,74,W,L1,200.0,16.00,1.000000,0.962577,0.865617,0.738337,0.603849,0.476128,0.362862,0.267703,0.191548,0.133410,0.091119,0.061916,0.042913,0.031418,0.025118,0.022163,0.021159,5.0.0
L2_Z74,74,W,L2,200.0,16.00,1.000000,0.959424,0.857743,0.730440,0.601651,0.483024,0.379313,0.291884,0.220348,0.163357,0.119060,0.085420,0.060426,0.042232,0.029240,0.020121,0.013820,5.0.0
L3_Z74,74,W,L3,200.0,16.00,1.000000,0.951089,0.833236,0.692312,0.554828,0.431773,0.326977,0.241032,0.172858,0.120463,0.081413,0.053184,0.033395,0.019956,0.011130,0.005542,0.002150,5.0.0
M1_Z74,74,W,M1,200.0,16.00,1.000000,0.759934,0.445835,0.215316,0.084758,0.030520,0.016791,0.016745,0.017629,0.016300,0.013538,0.010655,0.008352,0.006728,0.005605,0.004766,0.004066,5.0.0
M2_Z74,74,W,M2,200.0,16.00,1.000000,0.721627,0.409867,0.200228,0.084561,0.034804,0.019769,0.017562,0.017529,0.016446,0.014312,0.011860,0.009609,0.007745,0.006253,0.005051,0.004065,5.0.0
M3_Z74,74,W,M3,200.0,16.00,1.000000,0.675473,0.353507,0.152530,0.052541,0.017370,0.011803,0.014017,0.015261,0.014125,0.011671,0.009036,0.006801,0.005091,0.003826,0.002879,0.002151,5.0.0
M4_Z74,74,W,M4,200.0,16.00,1.000000,0.576028,0.279986,0.121300,0.041846,0.007845,-0.003605,-0.005853,-0.005228,-0.004108,-0.003133,-0.002371,-0.001771,-0.001293,-0.000916,-0.000629,-0.000417,5.0.0
M5_Z74,74,W,M5,200.0,16.00,1.000000,0.564808,0.269874,0.113867,0.037188,0.005272,-0.004960,-0.006618,-0.005719,-0.004441,-0.003340,-0.002466,-0.001777,-0.001237,-0.000826,-0.000527,-0.000319,5.0.0
L1_Z75,75,Re,L1,200.0,16.00,1.000000,0.964332,0.871126,0.747395,0.615319,0.488753,0.375538,0.279560,0.201984,0.142093,0.097960,0.067015,0.046499,0.033785,0.026578,0.023006,0.021631,5.0.0
L2_Z75,75,Re,L2,200.0,16.00,1.000000,0.961520,0.864050,0.740343,0.613714,0.495966,0.392179,0.304009,0.231306,0.172917,0.127148,0.092078,0.065776,0.046441,0.032493,0.022601,0.015693,5.0.0
L3_Z75,75,Re,L3,200.0,16.00,1.000000,0.953336,0.839600,0.701764,0.565851,0.443172,0.337918,0.250965,0.181466,0.127617,0.087131,0.057585,0.036660,0.022290,0.012736,0.006605,0.002824,5.0.0
M1_Z75,75,Re,M1,200.0,16.00,1.000000,0.769329,0.459252,0.227096,0.091997,0.033471,0.017379,0.016743,0.017893,0.016929,0.014319,0.011380,0.008924,0.007151,0.005925,0.005031,0.004308,5.0.0
M2_Z75,75,Re,M2,200.0,16.00,1.000000,0.732529,0.423568,0.211549,0.091494,0.037877,0.020665,0.017765,0.017806,0.016975,0.015000,0.012569,0.010254,0.008298,0.006720,0.005451,0.004413,5.0.0
M3_Z75,75,Re,M3,200.0,16.00,1.000000,0.686091,0.365601,0.161567,0.057146,0.018642,0.011633,0.013749,0.015391,0.014610,0.012300,0.009640,0.007302,0.005481,0.004126,0.003114,0.002342,5.0.0
M4_Z75,75,Re,M4,200.0,16.00,1.000000,0.590699,0.293202,0.130425,0.046937,0.010043,-0.003002,-0.005918,-0.005477,-0.004356,-0.003339,-0.002540,-0.001913,-0.001413,-0.001016,-0.000709,-0.000479,5.0.0
M5_Z75,75,Re,M5,200.0,16.00,1.000000,0.579400,0.282780,0.122596,0.041907,0.007198,-0.004523,-0.006776,-0.006025,-0.004731,-0.003581,-0.002664,-0.001939,-0.001369,-0.000930,-0.000605,-0.000375,5.0.0
L1_Z76,76,Os,L1,200.0,16.00,1.000000,0.965982,0.876375,0.756140,0.626514,0.501194,0.388143,0.291462,0.212568,0.151002,0.105071,0.072396,0.050350,0.036381,0.028219,0.023977,0.022182,5.0.0
L2_Z76,76,Os,L2,200.0,16.00,1.000000,0.963486,0.870062,0.749927,0.625530,0.508767,0.405013,0.316200,0.242412,0.182685,0.135482,0.098999,0.071388,0.050898,0.035969,0.025276,0.017730,5.0.0
L3_Z76,76,Os,L3,200.0,16.00,1.000000,0.955450,0.845683,0.710928,0.576653,0.454440,0.348815,0.260934,0.190174,0.134915,0.093017,0.062161,0.040091,0.024771,0.014466,0.007765,0.003572,5.0.0
M1_Z76,76,Os,M1,200.0,16.00,1.000000,0.778415,0.472521,0.239014,0.099579,0.036749,0.018128,0.016743,0.018086,0.017494,0.015076,0.012115,0.009525,0.007604,0.006267,0.005311,0.004558,5.0.0
M2_Z76,76,Os,M2,200.0,16.00,1.000000,0.743096,0.437161,0.223041,0.098771,0.041273,0.021744,0.018011,0.018053,0.017464,0.015668,0.013284,0.010920,0.008877,0.007213,0.005872,0.004779,5.0.0
