Z,element,channel,delta1_eV,delta2_eV,beta_mrad,sigma_ratio_db_over_temari,reconstruction_check_rel,clamp_weight_temari,clamp_weight_db
11,Na,K,50,150,30,1.108916,1.601e-04,0.000e+00,0.000e+00
11,Na,K,50,150,100,1.064707,2.386e-04,0.000e+00,0.000e+00
12,Mg,K,0,100,10,1.117369,7.530e-05,0.000e+00,1.295e-04
12,Mg,K,0,100,30,1.091874,1.005e-04,0.000e+00,1.267e-04
12,Mg,K,0,100,100,1.047882,1.903e-04,0.000e+00,1.245e-04
12,Mg,K,0,200,10,1.124910,1.173e-04,0.000e+00,3.262e-05
12,Mg,K,0,200,30,1.099655,1.388e-04,0.000e+00,3.132e-05
12,Mg,K,0,200,100,1.054004,2.220e-04,0.000e+00,3.027e-05
12,Mg,K,0,50,10,1.105715,4.526e-05,0.000e+00,1.219e-04
12,Mg,K,0,50,30,1.080251,6.988e-05,0.000e+00,1.206e-04
12,Mg,K,0,50,100,1.037412,1.615e-04,0.000e+00,1.195e-04
12,Mg,K,50,150,10,1.132457,1.298e-04,0.000e+00,0.000e+00
12,Mg,K,50,150,30,1.106784,1.516e-04,0.000e+00,0.000e+00
12,Mg,K,50,150,100,1.060408,2.332e-04,0.000e+00,0.000e+00
13,Al,K,0,100,10,1.128117,6.163e-05,0.000e+00,1.302e-04
13,Al,K,0,100,30,1.102616,8.516e-05,0.000e+00,1.277e-04
13,Al,K,0,100,100,1.056215,1.572e-04,0.000e+00,1.255e-04
13,Al,K,0,200,10,1.130965,1.048e-04,0.000e+00,3.230e-05
13,Al,K,0,200,30,1.105703,1.233e-04,0.000e+00,3.112e-05
13,Al,K,0,200,100,1.058117,1.990e-04,0.000e+00,3.010e-05
13,Al,K,0,50,10,1.121674,3.384e-05,0.000e+00,1.232e-04
13,Al,K,0,50,30,1.096128,6.041e-05,0.000e+00,1.220e-04
13,Al,K,0,50,100,1.050530,1.328e-04,0.000e+00,1.209e-04
13,Al,K,50,150,10,1.135150,1.139e-04,0.000e+00,0.000e+00
13,Al,K,50,150,30,1.109710,1.302e-04,0.000e+00,0.000e+00
13,Al,K,50,150,100,1.061726,2.054e-04,0.000e+00,0.000e+00
14,Si,K,0,100,10,1.130108,4.994e-05,0.000e+00,1.328e-04
14,Si,K,0,100,30,1.105491,6.831e-05,0.000e+00,1.304e-04
14,Si,K,0,100,100,1.058259,1.480e-04,0.000e+00,1.283e-04
14,Si,K,0,200,10,1.130069,9.173e-05,0.000e+00,3.252e-05
14,Si,K,0,200,30,1.105708,1.070e-04,0.000e+00,3.142e-05
14,Si,K,0,200,100,1.057666,1.774e-04,0.000e+00,3.043e-05
14,Si,K,0,50,10,1.129155,2.733e-05,0.000e+00,1.259e-04
14,Si,K,0,50,30,1.104391,4.763e-05,0.000e+00,1.247e-04
14,Si,K,0,50,100,1.057599,1.285e-04,0.000e+00,1.236e-04
14,Si,K,50,150,10,1.130940,9.636e-05,0.000e+00,0.000e+00
14,Si,K,50,150,30,1.106599,1.103e-04,0.000e+00,0.000e+00
14,Si,K,50,150,100,1.058444,1.808e-04,0.000e+00,0.000e+00
15,P,K,0,100,10,1.125831,4.108e-05,0.000e+00,1.330e-04
15,P,K,0,100,30,1.102235,5.717e-05,0.000e+00,1.308e-04
15,P,K,0,100,100,1.055029,1.315e-04,0.000e+00,1.287e-04
15,P,K,0,200,10,1.125610,7.933e-05,0.000e+00,3.219e-05
15,P,K,0,200,30,1.102268,9.221e-05,0.000e+00,3.118e-05
15,P,K,0,200,100,1.054510,1.659e-04,0.000e+00,3.023e-05
15,P,K,0,50,10,1.126933,2.366e-05,0.000e+00,1.264e-04
