Z,element,channel,delta1_eV,delta2_eV,beta_mrad,sigma_ratio_db_over_temari,reconstruction_check_rel,clamp_weight_temari,clamp_weight_db
38,Sr,L3,0,200,30,1.076021,1.004e-04,0.000e+00,4.018e-05
38,Sr,L3,0,200,100,1.024926,1.774e-04,0.000e+00,3.911e-05
38,Sr,L3,0,50,10,1.138240,1.585e-05,0.000e+00,1.539e-04
38,Sr,L3,0,50,30,1.110396,3.875e-05,0.000e+00,1.527e-04
38,Sr,L3,0,50,100,1.060034,1.217e-04,0.000e+00,1.518e-04
38,Sr,L3,50,150,10,1.089574,8.828e-05,0.000e+00,0.000e+00
38,Sr,L3,50,150,30,1.063149,1.040e-04,0.000e+00,0.000e+00
38,Sr,L3,50,150,100,1.012577,1.807e-04,0.000e+00,0.000e+00
38,Sr,M1,0,100,10,1.160089,5.725e-05,0.000e+00,1.525e-04
38,Sr,M1,0,100,30,1.004448,1.191e-04,0.000e+00,1.345e-04
38,Sr,M1,0,100,100,0.964893,3.941e-04,0.000e+00,1.300e-04
38,Sr,M1,0,200,10,1.161556,1.051e-04,0.000e+00,4.179e-05
38,Sr,M1,0,200,30,1.060868,1.864e-04,0.000e+00,3.321e-05
38,Sr,M1,0,200,100,1.029544,5.970e-04,0.000e+00,3.030e-05
38,Sr,M1,0,50,10,1.166197,3.885e-05,0.000e+00,1.347e-04
38,Sr,M1,0,50,30,0.993279,6.288e-05,0.000e+00,1.267e-04
38,Sr,M1,0,50,100,0.954707,2.719e-04,0.000e+00,1.258e-04
38,Sr,M1,50,150,10,1.160722,1.113e-04,0.000e+00,0.000e+00
38,Sr,M1,50,150,30,1.076522,2.168e-04,0.000e+00,0.000e+00
38,Sr,M1,50,150,100,1.042138,6.359e-04,0.000e+00,0.000e+00
38,Sr,M2,0,100,10,1.228366,3.444e-05,0.000e+00,1.463e-04
38,Sr,M2,0,100,30,1.032839,2.281e-04,0.000e+00,1.223e-04
38,Sr,M2,0,100,100,0.993451,3.643e-04,0.000e+00,1.208e-04
38,Sr,M2,0,200,10,1.210581,1.192e-04,0.000e+00,3.853e-05
38,Sr,M2,0,200,30,1.049735,3.618e-04,0.000e+00,2.969e-05
38,Sr,M2,0,200,100,1.009072,5.382e-04,0.000e+00,2.857e-05
38,Sr,M2,0,50,10,1.244707,2.054e-05,0.000e+00,1.367e-04
38,Sr,M2,0,50,30,1.014690,1.010e-04,0.000e+00,1.247e-04
38,Sr,M2,0,50,100,0.975792,2.240e-04,0.000e+00,1.246e-04
38,Sr,M2,50,150,10,1.202561,1.324e-04,0.000e+00,0.000e+00
38,Sr,M2,50,150,30,1.059860,4.062e-04,0.000e+00,0.000e+00
38,Sr,M2,50,150,100,1.018673,5.701e-04,0.000e+00,0.000e+00
38,Sr,M3,0,100,10,1.224009,4.949e-05,0.000e+00,1.535e-04
38,Sr,M3,0,100,30,1.042033,2.381e-04,0.000e+00,1.295e-04
38,Sr,M3,0,100,100,1.007263,3.610e-04,0.000e+00,1.276e-04
38,Sr,M3,0,200,10,1.206062,1.308e-04,0.000e+00,4.138e-05
38,Sr,M3,0,200,30,1.054534,3.707e-04,0.000e+00,3.227e-05
38,Sr,M3,0,200,100,1.017963,5.368e-04,0.000e+00,3.099e-05
38,Sr,M3,0,50,10,1.240732,4.221e-06,0.000e+00,1.407e-04
38,Sr,M3,0,50,30,1.028874,1.215e-04,0.000e+00,1.289e-04
38,Sr,M3,0,50,100,0.994996,2.227e-04,0.000e+00,1.286e-04
38,Sr,M3,50,150,10,1.196787,1.472e-04,0.000e+00,0.000e+00
38,Sr,M3,50,150,30,1.062704,4.168e-04,0.000e+00,0.000e+00
38,Sr,M3,50,150,100,1.025539,5.721e-04,0.000e+00,0.000e+00
38,Sr,M4,0,100,10,1.034405,4.971e-04,0.000e+00,2.260e-05
38,Sr,M4,0,100,30,0.982337,5.766e-04,0.000e+00,2.208e-05
38,Sr,M4,0,100,100,0.973611,5.787e-04,0.000e+00,2.230e-05
38,Sr,M4,0,200,10,1.074396,6.123e-04,0.000e+00,5.911e-06
38,Sr,M4,0,200,30,1.030446,7.308e-04,0.000e+00,5.515e-06
38,Sr,M4,0,200,100,1.020176,7.353e-04,0.000e+00,5.546e-06
38,Sr,M4,0,50,10,0.907444,3.998e-04,0.000e+00,2.867e-05
38,Sr,M4,0,50,30,0.845555,4.572e-04,0.000e+00,2.881e-05
38,Sr,M4,0,50,100,0.837428,4.588e-04,0.000e+00,2.913e-05
38,Sr,M4,50,150,10,1.141290,6.610e-04,0.000e+00,0.000e+00
38,Sr,M4,50,150,30,1.098156,7.690e-04,0.000e+00,0.000e+00
38,Sr,M4,50,150,100,1.087777,7.714e-04,0.000e+00,0.000e+00
38,Sr,M5,0,100,10,1.034698,5.018e-04,0.000e+00,2.215e-05
38,Sr,M5,0,100,30,0.982655,5.819e-04,0.000e+00,2.158e-05
38,Sr,M5,0,100,100,0.974121,5.828e-04,0.000e+00,2.181e-05
38,Sr,M5,0,200,10,1.074381,6.154e-04,0.000e+00,5.825e-06
38,Sr,M5,0,200,30,1.030387,7.341e-04,0.000e+00,5.419e-06
38,Sr,M5,0,200,100,1.020292,7.389e-04,0.000e+00,5.454e-06
38,Sr,M5,0,50,10,0.907531,4.070e-04,0.000e+00,2.798e-05
38,Sr,M5,0,50,30,0.845694,4.590e-04,0.000e+00,2.805e-05
38,Sr,M5,0,50,100,0.837806,4.650e-04,0.000e+00,2.837e-05
38,Sr,M5,50,150,10,1.142264,6.651e-04,0.000e+00,0.000e+00
38,Sr,M5,50,150,30,1.099050,7.732e-04,0.000e+00,0.000e+00
38,Sr,M5,50,150,100,1.088808,7.761e-04,0.000e+00,0.000e+00
39,Y,K,0,100,10,1.082609,1.504e-05,0.000e+00,1.201e-04
39,Y,K,0,100,30,1.077523,1.625e-05,0.000e+00,1.200e-04
39,Y,K,0,100,100,1.050341,2.492e-05,0.000e+00,1.198e-04
39,Y,K,0,200,10,1.082147,1.834e-05,0.000e+00,2.676e-05
39,Y,K,0,200,30,1.077081,1.942e-05,0.000e+00,2.672e-05
39,Y,K,0,200,100,1.049913,2.742e-05,0.000e+00,2.659e-05
39,Y,K,0,50,10,1.083771,1.456e-05,0.000e+00,1.194e-04
39,Y,K,0,50,30,1.078680,1.569e-05,0.000e+00,1.193e-04
39,Y,K,0,50,100,1.051528,2.454e-05,0.000e+00,1.193e-04
39,Y,K,50,150,10,1.081576,1.689e-05,0.000e+00,0.000e+00
39,Y,K,50,150,30,1.076507,1.812e-05,0.000e+00,0.000e+00
39,Y,K,50,150,100,1.049311,2.624e-05,0.000e+00,0.000e+00
39,Y,L1,0,100,10,1.035873,1.807e-05,0.000e+00,1.283e-04
39,Y,L1,0,100,30,1.008528,1.462e-05,0.000e+00,1.282e-04
39,Y,L1,0,100,100,0.954986,1.033e-04,0.000e+00,1.303e-04
39,Y,L1,0,200,10,1.035146,3.887e-05,0.000e+00,3.036e-05
39,Y,L1,0,200,30,1.007255,3.607e-05,0.000e+00,3.010e-05
39,Y,L1,0,200,100,0.951129,1.267e-04,0.000e+00,3.039e-05
39,Y,L1,0,50,10,1.037389,9.010e-06,0.000e+00,1.235e-04
39,Y,L1,0,50,30,1.011088,4.609e-06,0.000e+00,1.238e-04
39,Y,L1,0,50,100,0.960951,9.373e-05,0.000e+00,1.256e-04
39,Y,L1,50,150,10,1.034302,3.819e-05,0.000e+00,0.000e+00
39,Y,L1,50,150,30,1.005796,3.558e-05,0.000e+00,0.000e+00
39,Y,L1,50,150,100,0.947926,1.247e-04,0.000e+00,0.000e+00
39,Y,L2,0,100,10,1.108131,3.696e-05,0.000e+00,1.436e-04
39,Y,L2,0,100,30,1.080950,5.644e-05,0.000e+00,1.414e-04
39,Y,L2,0,100,100,1.030044,1.275e-04,0.000e+00,1.395e-04
39,Y,L2,0,200,10,1.098082,7.346e-05,0.000e+00,3.527e-05
39,Y,L2,0,200,30,1.071231,8.952e-05,0.000e+00,3.420e-05
39,Y,L2,0,200,100,1.019744,1.591e-04,0.000e+00,3.328e-05
39,Y,L2,0,50,10,1.122858,1.725e-05,0.000e+00,1.333e-04
39,Y,L2,0,50,30,1.095446,3.831e-05,0.000e+00,1.323e-04
39,Y,L2,0,50,100,1.044890,1.082e-04,0.000e+00,1.314e-04
39,Y,L2,50,150,10,1.089149,7.526e-05,0.000e+00,0.000e+00
39,Y,L2,50,150,30,1.062694,9.050e-05,0.000e+00,0.000e+00
39,Y,L2,50,150,100,1.011415,1.611e-04,0.000e+00,0.000e+00
39,Y,L3,0,100,10,1.109955,3.876e-05,0.000e+00,1.452e-04
39,Y,L3,0,100,30,1.082708,5.759e-05,0.000e+00,1.429e-04
39,Y,L3,0,100,100,1.031721,1.339e-04,0.000e+00,1.410e-04
39,Y,L3,0,200,10,1.099884,7.662e-05,0.000e+00,3.581e-05
39,Y,L3,0,200,30,1.072953,9.218e-05,0.000e+00,3.469e-05
39,Y,L3,0,200,100,1.021280,1.675e-04,0.000e+00,3.375e-05
39,Y,L3,0,50,10,1.124669,1.821e-05,0.000e+00,1.345e-04
39,Y,L3,0,50,30,1.097205,3.912e-05,0.000e+00,1.335e-04
39,Y,L3,0,50,100,1.046637,1.134e-04,0.000e+00,1.326e-04
39,Y,L3,50,150,10,1.090877,7.884e-05,0.000e+00,0.000e+00
39,Y,L3,50,150,30,1.064348,9.318e-05,0.000e+00,0.000e+00
39,Y,L3,50,150,100,1.012868,1.697e-04,0.000e+00,0.000e+00
39,Y,M1,0,100,10,1.139022,5.107e-05,0.000e+00,1.518e-04
39,Y,M1,0,100,30,0.994627,1.041e-04,0.000e+00,1.333e-04
39,Y,M1,0,100,100,0.952802,3.512e-04,0.000e+00,1.266e-04
39,Y,M1,0,200,10,1.138840,9.734e-05,0.000e+00,4.128e-05
39,Y,M1,0,200,30,1.037834,1.661e-04,0.000e+00,3.315e-05
39,Y,M1,0,200,100,1.005089,5.541e-04,0.000e+00,2.967e-05
39,Y,M1,0,50,10,1.144774,3.254e-05,0.000e+00,1.347e-04
39,Y,M1,0,50,30,0.985809,6.030e-05,0.000e+00,1.256e-04
39,Y,M1,0,50,100,0.943641,2.371e-04,0.000e+00,1.231e-04
39,Y,M1,50,150,10,1.134628,1.030e-04,0.000e+00,0.000e+00
39,Y,M1,50,150,30,1.038835,1.871e-04,0.000e+00,0.000e+00
39,Y,M1,50,150,100,1.002571,5.797e-04,0.000e+00,0.000e+00
39,Y,M2,0,100,10,1.211949,3.593e-05,0.000e+00,1.361e-04
39,Y,M2,0,100,30,1.034830,2.001e-04,0.000e+00,1.126e-04
39,Y,M2,0,100,100,0.992720,3.455e-04,0.000e+00,1.101e-04
39,Y,M2,0,200,10,1.195138,1.098e-04,0.000e+00,3.590e-05
39,Y,M2,0,200,30,1.047654,3.212e-04,0.000e+00,2.750e-05
39,Y,M2,0,200,100,1.004979,5.076e-04,0.000e+00,2.614e-05
39,Y,M2,0,50,10,1.226140,5.583e-06,0.000e+00,1.264e-04
39,Y,M2,0,50,30,1.019419,8.190e-05,0.000e+00,1.140e-04
39,Y,M2,0,50,100,0.976851,2.226e-04,0.000e+00,1.131e-04
39,Y,M2,50,150,10,1.188073,1.164e-04,0.000e+00,0.000e+00
39,Y,M2,50,150,30,1.056530,3.640e-04,0.000e+00,0.000e+00
39,Y,M2,50,150,100,1.013837,5.415e-04,0.000e+00,0.000e+00
39,Y,M3,0,100,10,1.206119,4.961e-05,0.000e+00,1.426e-04
39,Y,M3,0,100,30,1.041751,2.320e-04,0.000e+00,1.193e-04
39,Y,M3,0,100,100,1.004672,3.448e-04,0.000e+00,1.166e-04
39,Y,M3,0,200,10,1.189396,1.215e-04,0.000e+00,3.846e-05
39,Y,M3,0,200,30,1.050954,3.418e-04,0.000e+00,2.987e-05
39,Y,M3,0,200,100,1.012687,5.040e-04,0.000e+00,2.839e-05
39,Y,M3,0,50,10,1.220465,8.243e-06,0.000e+00,1.302e-04
39,Y,M3,0,50,30,1.030466,1.139e-04,0.000e+00,1.181e-04
39,Y,M3,0,50,100,0.993532,2.192e-04,0.000e+00,1.171e-04
39,Y,M3,50,150,10,1.181357,1.323e-04,0.000e+00,0.000e+00
39,Y,M3,50,150,30,1.058182,3.925e-04,0.000e+00,0.000e+00
39,Y,M3,50,150,100,1.019744,5.443e-04,0.000e+00,0.000e+00
39,Y,M4,0,100,10,1.043257,4.983e-04,0.000e+00,1.862e-05
39,Y,M4,0,100,30,0.992133,5.716e-04,0.000e+00,1.820e-05
39,Y,M4,0,100,100,0.981855,5.752e-04,0.000e+00,1.845e-05
39,Y,M4,0,200,10,1.075358,5.977e-04,0.000e+00,4.810e-06
39,Y,M4,0,200,30,1.032588,7.041e-04,0.000e+00,4.497e-06
39,Y,M4,0,200,100,1.020992,7.114e-04,0.000e+00,4.535e-06
39,Y,M4,0,50,10,0.933992,4.430e-04,0.000e+00,2.362e-05
39,Y,M4,0,50,30,0.871297,4.832e-04,0.000e+00,2.374e-05
39,Y,M4,0,50,100,0.861126,4.981e-04,0.000e+00,2.409e-05
39,Y,M4,50,150,10,1.130126,6.252e-04,0.000e+00,0.000e+00
39,Y,M4,50,150,30,1.089449,7.271e-04,0.000e+00,0.000e+00
39,Y,M4,50,150,100,1.078061,7.293e-04,0.000e+00,0.000e+00
39,Y,M5,0,100,10,1.043335,5.030e-04,0.000e+00,1.813e-05
39,Y,M5,0,100,30,0.992224,5.743e-04,0.000e+00,1.767e-05
39,Y,M5,0,100,100,0.982173,5.800e-04,0.000e+00,1.793e-05
39,Y,M5,0,200,10,1.075205,6.011e-04,0.000e+00,4.709e-06
39,Y,M5,0,200,30,1.032386,7.068e-04,0.000e+00,4.387e-06
39,Y,M5,0,200,100,1.020990,7.151e-04,0.000e+00,4.430e-06
39,Y,M5,0,50,10,0.933845,4.489e-04,0.000e+00,2.292e-05
39,Y,M5,0,50,30,0.871191,4.930e-04,0.000e+00,2.296e-05
39,Y,M5,0,50,100,0.861299,5.041e-04,0.000e+00,2.332e-05
39,Y,M5,50,150,10,1.130754,6.296e-04,0.000e+00,0.000e+00
39,Y,M5,50,150,30,1.090021,7.310e-04,0.000e+00,0.000e+00
39,Y,M5,50,150,100,1.078795,7.342e-04,0.000e+00,0.000e+00
40,Zr,K,0,100,10,1.082371,1.653e-05,0.000e+00,1.209e-04
40,Zr,K,0,100,30,1.077653,1.638e-05,0.000e+00,1.208e-04
40,Zr,K,0,100,100,1.051281,2.445e-05,0.000e+00,1.205e-04
40,Zr,K,0,200,10,1.081909,1.923e-05,0.000e+00,2.692e-05
40,Zr,K,0,200,30,1.077214,1.926e-05,0.000e+00,2.688e-05
40,Zr,K,0,200,100,1.050883,2.671e-05,0.000e+00,2.673e-05
40,Zr,K,0,50,10,1.083498,1.479e-05,0.000e+00,1.203e-04
40,Zr,K,0,50,30,1.078769,1.490e-05,0.000e+00,1.203e-04
40,Zr,K,0,50,100,1.052372,2.308e-05,0.000e+00,1.200e-04
40,Zr,K,50,150,10,1.081359,1.887e-05,0.000e+00,0.000e+00
40,Zr,K,50,150,30,1.076664,1.861e-05,0.000e+00,0.000e+00
40,Zr,K,50,150,100,1.050333,2.622e-05,0.000e+00,0.000e+00
40,Zr,L1,0,100,10,1.034016,1.752e-05,0.000e+00,1.284e-04
40,Zr,L1,0,100,30,1.006568,1.371e-05,0.000e+00,1.270e-04
40,Zr,L1,0,100,100,0.951509,1.145e-04,0.000e+00,1.254e-04
40,Zr,L1,0,200,10,1.033409,3.721e-05,0.000e+00,3.027e-05
40,Zr,L1,0,200,30,1.005644,3.401e-05,0.000e+00,2.970e-05
40,Zr,L1,0,200,100,0.948571,1.245e-04,0.000e+00,2.916e-05
40,Zr,L1,0,50,10,1.035339,8.097e-06,0.000e+00,1.239e-04
40,Zr,L1,0,50,30,1.008486,3.798e-06,0.000e+00,1.230e-04
40,Zr,L1,0,50,100,0.955743,1.109e-04,0.000e+00,1.214e-04
40,Zr,L1,50,150,10,1.032676,3.702e-05,0.000e+00,0.000e+00
40,Zr,L1,50,150,30,1.004555,3.379e-05,0.000e+00,0.000e+00
40,Zr,L1,50,150,100,0.946348,1.218e-04,0.000e+00,0.000e+00
40,Zr,L2,0,100,10,1.101160,3.464e-05,0.000e+00,1.283e-04
40,Zr,L2,0,100,30,1.074446,5.212e-05,0.000e+00,1.263e-04
40,Zr,L2,0,100,100,1.023349,1.123e-04,0.000e+00,1.246e-04
40,Zr,L2,0,200,10,1.094069,6.783e-05,0.000e+00,3.132e-05
40,Zr,L2,0,200,30,1.067613,8.242e-05,0.000e+00,3.038e-05
40,Zr,L2,0,200,100,1.015854,1.421e-04,0.000e+00,2.956e-05
40,Zr,L2,0,50,10,1.110315,2.001e-05,0.000e+00,1.199e-04
40,Zr,L2,0,50,30,1.083488,3.915e-05,0.000e+00,1.189e-04
40,Zr,L2,0,50,100,1.032955,1.006e-04,0.000e+00,1.181e-04
40,Zr,L2,50,150,10,1.088679,6.739e-05,0.000e+00,0.000e+00
40,Zr,L2,50,150,30,1.062429,8.110e-05,0.000e+00,0.000e+00
40,Zr,L2,50,150,100,1.010631,1.401e-04,0.000e+00,0.000e+00
40,Zr,L3,0,100,10,1.103305,3.600e-05,0.000e+00,1.302e-04
40,Zr,L3,0,100,30,1.076516,5.425e-05,0.000e+00,1.281e-04
40,Zr,L3,0,100,100,1.025230,1.234e-04,0.000e+00,1.263e-04
40,Zr,L3,0,200,10,1.096074,7.077e-05,0.000e+00,3.191e-05
40,Zr,L3,0,200,30,1.069531,8.559e-05,0.000e+00,3.093e-05
40,Zr,L3,0,200,100,1.017495,1.543e-04,0.000e+00,3.008e-05
40,Zr,L3,0,50,10,1.112681,2.054e-05,0.000e+00,1.213e-04
40,Zr,L3,0,50,30,1.085789,4.096e-05,0.000e+00,1.204e-04
40,Zr,L3,0,50,100,1.035123,1.083e-04,0.000e+00,1.195e-04
40,Zr,L3,50,150,10,1.090490,7.066e-05,0.000e+00,0.000e+00
40,Zr,L3,50,150,30,1.064162,8.415e-05,0.000e+00,0.000e+00
40,Zr,L3,50,150,100,1.012081,1.541e-04,0.000e+00,0.000e+00
40,Zr,M1,0,100,10,1.123165,4.565e-05,0.000e+00,1.504e-04
40,Zr,M1,0,100,30,0.991411,1.156e-04,0.000e+00,1.311e-04
40,Zr,M1,0,100,100,0.948012,3.437e-04,0.000e+00,1.227e-04
40,Zr,M1,0,200,10,1.124095,9.084e-05,0.000e+00,4.050e-05
40,Zr,M1,0,200,30,1.033297,1.587e-04,0.000e+00,3.249e-05
40,Zr,M1,0,200,100,1.000563,5.132e-04,0.000e+00,2.855e-05
40,Zr,M1,0,50,10,1.129218,2.641e-05,0.000e+00,1.341e-04
40,Zr,M1,0,50,30,0.987528,7.958e-05,0.000e+00,1.232e-04
40,Zr,M1,0,50,100,0.943185,2.516e-04,0.000e+00,1.194e-04
40,Zr,M1,50,150,10,1.119465,9.666e-05,0.000e+00,0.000e+00
40,Zr,M1,50,150,30,1.030522,1.692e-04,0.000e+00,0.000e+00
40,Zr,M1,50,150,100,0.994699,5.255e-04,0.000e+00,0.000e+00
40,Zr,M2,0,100,10,1.195756,3.671e-05,0.000e+00,1.275e-04
40,Zr,M2,0,100,30,1.033444,1.951e-04,0.000e+00,1.050e-04
40,Zr,M2,0,100,100,0.988843,3.377e-04,0.000e+00,1.017e-04
40,Zr,M2,0,200,10,1.181045,1.014e-04,0.000e+00,3.357e-05
40,Zr,M2,0,200,30,1.044438,2.957e-04,0.000e+00,2.568e-05
40,Zr,M2,0,200,100,0.999807,4.874e-04,0.000e+00,2.415e-05
40,Zr,M2,0,50,10,1.206656,4.817e-06,0.000e+00,1.182e-04
40,Zr,M2,0,50,30,1.018459,1.019e-04,0.000e+00,1.059e-04
40,Zr,M2,0,50,100,0.972644,2.180e-04,0.000e+00,1.045e-04
40,Zr,M2,50,150,10,1.175838,1.040e-04,0.000e+00,0.000e+00
40,Zr,M2,50,150,30,1.053151,3.282e-04,0.000e+00,0.000e+00
40,Zr,M2,50,150,100,1.008847,5.180e-04,0.000e+00,0.000e+00
40,Zr,M3,0,100,10,1.189130,4.995e-05,0.000e+00,1.335e-04
40,Zr,M3,0,100,30,1.038763,2.068e-04,0.000e+00,1.112e-04
40,Zr,M3,0,100,100,0.999564,3.383e-04,0.000e+00,1.078e-04
40,Zr,M3,0,200,10,1.174574,1.142e-04,0.000e+00,3.590e-05
40,Zr,M3,0,200,30,1.046673,3.065e-04,0.000e+00,2.787e-05
40,Zr,M3,0,200,100,1.006745,4.846e-04,0.000e+00,2.625e-05
40,Zr,M3,0,50,10,1.200160,1.798e-05,0.000e+00,1.217e-04
40,Zr,M3,0,50,30,1.027357,1.160e-04,0.000e+00,1.099e-04
40,Zr,M3,0,50,100,0.987678,2.198e-04,0.000e+00,1.084e-04
40,Zr,M3,50,150,10,1.168585,1.202e-04,0.000e+00,0.000e+00
40,Zr,M3,50,150,30,1.053984,3.428e-04,0.000e+00,0.000e+00
40,Zr,M3,50,150,100,1.014183,5.202e-04,0.000e+00,0.000e+00
40,Zr,M4,0,100,10,1.044923,5.065e-04,0.000e+00,1.596e-05
40,Zr,M4,0,100,30,0.995076,5.719e-04,0.000e+00,1.560e-05
40,Zr,M4,0,100,100,0.983300,5.828e-04,0.000e+00,1.586e-05
40,Zr,M4,0,200,10,1.073534,5.866e-04,0.000e+00,4.060e-06
40,Zr,M4,0,200,30,1.032020,6.837e-04,0.000e+00,3.800e-06
40,Zr,M4,0,200,100,1.019146,6.913e-04,0.000e+00,3.843e-06
40,Zr,M4,0,50,10,0.942856,4.936e-04,0.000e+00,2.053e-05
40,Zr,M4,0,50,30,0.880645,5.359e-04,0.000e+00,2.062e-05
40,Zr,M4,0,50,100,0.868489,5.444e-04,0.000e+00,2.099e-05
40,Zr,M4,50,150,10,1.121981,5.959e-04,0.000e+00,0.000e+00
40,Zr,M4,50,150,30,1.083034,6.923e-04,0.000e+00,0.000e+00
40,Zr,M4,50,150,100,1.070625,6.942e-04,0.000e+00,0.000e+00
40,Zr,M5,0,100,10,1.044827,5.123e-04,0.000e+00,1.545e-05
40,Zr,M5,0,100,30,0.994975,5.784e-04,0.000e+00,1.504e-05
40,Zr,M5,0,100,100,0.983453,5.873e-04,0.000e+00,1.532e-05
40,Zr,M5,0,200,10,1.073269,5.909e-04,0.000e+00,3.950e-06
40,Zr,M5,0,200,30,1.031697,6.873e-04,0.000e+00,3.682e-06
40,Zr,M5,0,200,100,1.019045,6.964e-04,0.000e+00,3.730e-06
40,Zr,M5,0,50,10,0.942462,5.006e-04,0.000e+00,1.981e-05
40,Zr,M5,0,50,30,0.880242,5.372e-04,0.000e+00,1.982e-05
40,Zr,M5,0,50,100,0.868418,5.502e-04,0.000e+00,2.021e-05
40,Zr,M5,50,150,10,1.122406,6.010e-04,0.000e+00,0.000e+00
40,Zr,M5,50,150,30,1.083413,6.974e-04,0.000e+00,0.000e+00
40,Zr,M5,50,150,100,1.071187,6.993e-04,0.000e+00,0.000e+00
41,Nb,K,0,100,10,1.076967,1.467e-05,0.000e+00,1.182e-04
41,Nb,K,0,100,30,1.072698,1.610e-05,0.000e+00,1.182e-04
41,Nb,K,0,100,100,1.047613,2.368e-05,0.000e+00,1.180e-04
41,Nb,K,0,200,10,1.077831,1.817e-05,0.000e+00,2.625e-05
41,Nb,K,0,200,30,1.073578,1.904e-05,0.000e+00,2.622e-05
41,Nb,K,0,200,100,1.048514,2.588e-05,0.000e+00,2.611e-05
41,Nb,K,0,50,10,1.075588,1.325e-05,0.000e+00,1.180e-04
41,Nb,K,0,50,30,1.071317,1.480e-05,0.000e+00,1.180e-04
41,Nb,K,0,50,100,1.046257,2.246e-05,0.000e+00,1.179e-04
41,Nb,K,50,150,10,1.078553,1.755e-05,0.000e+00,0.000e+00
41,Nb,K,50,150,30,1.074295,1.857e-05,0.000e+00,0.000e+00
41,Nb,K,50,150,100,1.049200,2.561e-05,0.000e+00,0.000e+00
41,Nb,L1,0,100,10,1.025759,1.617e-05,0.000e+00,1.255e-04
41,Nb,L1,0,100,30,0.998553,1.150e-05,0.000e+00,1.254e-04
41,Nb,L1,0,100,100,0.943673,1.178e-04,0.000e+00,1.275e-04
41,Nb,L1,0,200,10,1.026505,3.523e-05,0.000e+00,2.946e-05
41,Nb,L1,0,200,30,0.999014,3.143e-05,0.000e+00,2.921e-05
41,Nb,L1,0,200,100,0.942128,1.302e-04,0.000e+00,2.958e-05
41,Nb,L1,0,50,10,1.024676,7.299e-06,0.000e+00,1.217e-04
41,Nb,L1,0,50,30,0.998126,1.927e-06,0.000e+00,1.218e-04
41,Nb,L1,0,50,100,0.945851,1.120e-04,0.000e+00,1.234e-04
41,Nb,L1,50,150,10,1.027128,3.517e-05,0.000e+00,0.000e+00
41,Nb,L1,50,150,30,0.999223,3.138e-05,0.000e+00,0.000e+00
41,Nb,L1,50,150,100,0.941006,1.297e-04,0.000e+00,0.000e+00
41,Nb,L2,0,100,10,1.087610,2.656e-05,0.000e+00,1.389e-04
41,Nb,L2,0,100,30,1.061872,4.313e-05,0.000e+00,1.369e-04
41,Nb,L2,0,100,100,1.012316,1.058e-04,0.000e+00,1.351e-04
41,Nb,L2,0,200,10,1.083773,5.773e-05,0.000e+00,3.393e-05
41,Nb,L2,0,200,30,1.058151,7.149e-05,0.000e+00,3.296e-05
41,Nb,L2,0,200,100,1.007585,1.271e-04,0.000e+00,3.209e-05
41,Nb,L2,0,50,10,1.092770,1.835e-05,0.000e+00,1.291e-04
41,Nb,L2,0,50,30,1.067093,3.603e-05,0.000e+00,1.281e-04
41,Nb,L2,0,50,100,1.018620,1.046e-04,0.000e+00,1.273e-04
41,Nb,L2,50,150,10,1.080726,5.382e-05,0.000e+00,0.000e+00
41,Nb,L2,50,150,30,1.055120,6.702e-05,0.000e+00,0.000e+00
41,Nb,L2,50,150,100,1.004108,1.199e-04,0.000e+00,0.000e+00
41,Nb,L3,0,100,10,1.090276,2.802e-05,0.000e+00,1.421e-04
41,Nb,L3,0,100,30,1.064439,4.463e-05,0.000e+00,1.399e-04
41,Nb,L3,0,100,100,1.014600,1.042e-04,0.000e+00,1.380e-04
41,Nb,L3,0,200,10,1.086032,6.074e-05,0.000e+00,3.485e-05
41,Nb,L3,0,200,30,1.060299,7.396e-05,0.000e+00,3.383e-05
41,Nb,L3,0,200,100,1.009371,1.326e-04,0.000e+00,3.291e-05
41,Nb,L3,0,50,10,1.096155,1.880e-05,0.000e+00,1.316e-04
41,Nb,L3,0,50,30,1.070382,3.704e-05,0.000e+00,1.306e-04
41,Nb,L3,0,50,100,1.021669,9.872e-05,0.000e+00,1.297e-04
41,Nb,L3,50,150,10,1.082486,5.725e-05,0.000e+00,0.000e+00
41,Nb,L3,50,150,30,1.056789,6.951e-05,0.000e+00,0.000e+00
41,Nb,L3,50,150,100,1.005420,1.275e-04,0.000e+00,0.000e+00
41,Nb,M1,0,100,10,1.097459,4.213e-05,0.000e+00,1.466e-04
41,Nb,M1,0,100,30,0.976692,1.150e-04,0.000e+00,1.304e-04
41,Nb,M1,0,100,100,0.934739,3.573e-04,0.000e+00,1.212e-04
41,Nb,M1,0,200,10,1.100451,8.668e-05,0.000e+00,3.906e-05
41,Nb,M1,0,200,30,1.016509,1.530e-04,0.000e+00,3.212e-05
41,Nb,M1,0,200,100,0.986262,4.791e-04,0.000e+00,2.794e-05
41,Nb,M1,0,50,10,1.099805,2.326e-05,0.000e+00,1.318e-04
41,Nb,M1,0,50,30,0.969555,8.077e-05,0.000e+00,1.236e-04
41,Nb,M1,0,50,100,0.925406,2.585e-04,0.000e+00,1.196e-04
41,Nb,M1,50,150,10,1.098691,9.223e-05,0.000e+00,0.000e+00
41,Nb,M1,50,150,30,1.015994,1.665e-04,0.000e+00,0.000e+00
